id,name,type,party,sector,country
uvdl,Ursula von der Leyen,1,CDU,Politik,Deutschland
lk,Lars Klingbeil,1,SPD,Politik,Deutschland
nr,Norbert Röttgen,1,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,1,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,1,NA,Jura,Deustchland
cl,Christian Lindner,1,FDP,Politik,Deutschland
ks,Karl Schlögel,1,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,1,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,1,NA,Journalismus,Deutschland
el,Egils Levits,1,NA,Politik,Lettland
ab,Annalena Baerbock ,1,Bündnis90/Die Grünen,Politik,Deutschland
ft,Frans Timmermans,1,NA,Politik,Niederlande
am,Andrij Melnyk,1,NA,Politik,Ukraine
agl,Alexander Graf Lambsdorff,1,FDP,Politik,Deutschland
er,Egon Ramms,1,NA,Bundeswehr,Deutschland
rh,Robert Habeck,1,Bündnis90/Die Grünen,Politik,Deutschland
cm,Claudia Major,1,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,1,NA,Autor,Ukraine
rk,Roderich Kiesewetter,1,CDU,Politik,Deustchland
CDU,CDU,2,NA,NA,NA
SPD,SPD,2,NA,NA,NA
FDP,FDP,2,NA,NA,NA
dl,Die Linke,2,NA,NA,NA
dg,Bündnis90/Die Grünen,2,NA,NA,NA
500,Folge 500,3,NA,NA,NA
501,Folge 501,3,NA,NA,NA
502,Folge 502,3,NA,NA,NA
503,Folge 503,3,NA,NA,NA
